,Unnamed: 0,city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy,occupancy_lst,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
0,0.0,Manhattan,A Beautiful Brownstone Apartment,Entire apartment,910.0,Michael,2790,5.0,"['4 guests', 'Studio', '3 beds', '1 bath', '󰀄
474 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n474 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
1,1.0,Manhattan,YOUR DREAM SUITE IN MANHATTAN,Private room in apartment,870.0,Marilyn,1370,4.0,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '󰀄
544 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\U000f0004\n544 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
2,2.0,Manhattan,Manhattan's Best Deal!,Entire apartment,1650.0,Adrianne,2720,4.5,"['6 guests', '2 bedrooms', '5 beds', '1 bath', '󰀄
410 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '2 bedrooms'"", "" '5 beds'"", "" '1 bath'"", "" '\U000f0004\n410 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
3,3.0,Manhattan,Spacious room near Times Square,Private room in apartment,880.0,Stephanie,1180,4.5,"['4 guests', '1 bedroom', '1 bed', '1 shared bath', '󰀄
257 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\U000f0004\n257 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
4,4.0,Manhattan,Entire Apartment Steps from Times Square!!! For 4!,Entire apartment,990.0,Theresa,1620,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
398 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n398 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
5,5.0,Manhattan,Modern & Trendy 2-Bedroom 1 Bath Lower Manhattan,Entire apartment,900.0,Alex,1170,5.0,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '󰀄
118 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n118 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
6,6.0,Manhattan,LARGE 2 Bedroom Midtown Manhattan Apartment!,Entire apartment,1240.0,Ethan,40,5.0,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '󰀄
4 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n4 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
7,7.0,Manhattan,Massive DUPLEX 2BR & 2BATH East Village,Entire apartment,1980.0,Seith,3400,4.0,"['8 guests', '2 bedrooms', '4 beds', '2 baths', '󰀄
939 Reviews', '󱄁
1 Reference', '󰀙
Verified']","[""['8 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '2 baths'"", "" '\U000f0004\n939 Reviews'"", "" '\U000f1101\n1 Reference'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
8,8.0,Manhattan,Luxury Central Park Apartment close to everything,Entire apartment,1990.0,Bozhena,1250,4.5,"['4 guests', '1 bedroom', '4 beds', '1 bath', '󰀄
337 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '4 beds'"", "" '1 bath'"", "" '\U000f0004\n337 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
9,9.0,Manhattan,GREAT AND STYLISH APARTMENT! AMAZING LOCATION!,Entire apartment,1100.0,M. Alejandro,1000,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
108 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n108 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
10,10.0,Manhattan,Big renovated studio up to 4 people in Manhattan,Entire apartment,950.0,Gloria,200,4.5,"['4 guests', 'Studio', '1 bed', '1 bath', '󰀄
20 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n20 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
11,11.0,Manhattan,GORGEOUS 1 BDR PRIME HELL'S KITCHEN,Entire apartment,1340.0,Konstantin,2610,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
263 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n263 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
12,12.0,Manhattan,Spacious Room in East Village/NoHo,Private room in apartment,1290.0,Sne,3810,5.0,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '󰀄
382 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\U000f0004\n382 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
13,13.0,Manhattan,Manhattan Lux Loft.Like.Love.Lots.Look !,Private room in loft,2710.0,Carol,5260,5.0,"['5 guests', '1 bedroom', '3 beds', '1 private bath', '󰀄
533 Reviews', '󱄁
5 References', '󰀙
Verified']","[""['5 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 private bath'"", "" '\U000f0004\n533 Reviews'"", "" '\U000f1101\n5 References'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
14,14.0,Manhattan,Cozy Hell's Kitchen/ Time Square Apartment- 2 BRM,Entire apartment,1450.0,Nivea And Jill,1220,4.5,"['8 guests', '2 bedrooms', '4 beds', '1 bath', '󰀄
124 Reviews', '󰀙
Verified']","[""['8 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\U000f0004\n124 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
15,15.0,Manhattan,"2 Blocks from Times Square, Centrally Located!",Entire apartment,1750.0,Astor,1550,4.5,"['5 guests', 'Studio', '4 beds', '1 bath', '󰀄
214 Reviews', '󰀙
Verified']","[""['5 guests'"", "" 'Studio'"", "" '4 beds'"", "" '1 bath'"", "" '\U000f0004\n214 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
16,16.0,Manhattan,Unique Loft GREAT location,Entire apartment,1890.0,Lee,1660,4.5,"['6 guests', 'Studio', '3 beds', '1 bath', '󰀄
210 Reviews', '󰀙
Verified']","[""['6 guests'"", "" 'Studio'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n210 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
17,17.0,Manhattan,âUnique two bedroom on 2nd Avenueâ,Entire apartment,1500.0,Zev,2810,4.5,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '󰀄
613 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n613 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
18,18.0,Manhattan,Best of the East Village Cozy 2 Bedroom,Entire apartment,1000.0,Katya,2030,4.5,"['5 guests', '2 bedrooms', '2 beds', '1 bath', '󰀄
206 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n206 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
19,19.0,Manhattan,A Unique studio apartment,Entire apartment,1400.0,Michael,1950,5.0,"['3 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
474 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n474 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
20,20.0,Manhattan,Modern Condo in Midtown,Private room in apartment,1590.0,Welcome To My Place,3110,5.0,"['4 guests', '1 bedroom', '1 bed', '1 bath', '󰀄
314 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n314 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
21,21.0,Manhattan,Cozy Apartment Near Times Square,Entire apartment,1350.0,Mike,2250,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
276 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n276 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
22,22.0,Manhattan,Amazingly well located 2 bedroom/2 bath apartment,Entire apartment,1250.0,John,390,4.5,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '󰀄
39 Reviews']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\U000f0004\n39 Reviews']""]",[,"""",[,',,,
23,23.0,Manhattan,RENOVATED/BEST LOCATION in MIDTOWN,Private room in townhouse,1900.0,Marta,1620,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
307 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n307 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
24,24.0,Manhattan,Near Times Square and Hell's Kitchen,Private room in apartment,1400.0,Claude,3430,4.5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '󰀄
347 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\U000f0004\n347 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
25,25.0,Manhattan,Fun Spacious Midtown Apt near U.N. & Central Park,Entire apartment,1750.0,Christian,1290,5.0,"['5 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
135 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n135 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
26,26.0,Manhattan,Elegant Private Apartment in a Historic Brownstone,Private room in townhouse,1080.0,Jacob,1040,5.0,"['4 guests', 'Studio', '2 beds', '1 private bath', '󰀄
874 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 private bath'"", "" '\U000f0004\n874 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
27,27.0,Manhattan,Cozy Apartment Next To Central Park,Entire apartment,1500.0,Lenny,1030,4.5,"['5 guests', '2 bedrooms', '2 beds', '1 bath', '󰀄
142 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n142 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
28,28.0,Manhattan,"Manhattan, Room w/ 2 Beds Near Central Park &Metro",Private room in house,990.0,Joo,1430,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '󰀄
987 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\U000f0004\n987 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
29,29.0,Manhattan,Miltons place,Entire apartment,900.0,Milton,80,5.0,"['4 guests', 'Studio', '0 beds', '1 bath', '󰀄
18 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '0 beds'"", "" '1 bath'"", "" '\U000f0004\n18 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
30,30.0,Manhattan,Super well located 2 BR 2 bath apt in Manhattan,Entire apartment,1500.0,Gina,180,4.5,"['8 guests', '2 bedrooms', '4 beds', '2 baths', '󰀄
18 Reviews', '󰀙
Verified']","[""['8 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '2 baths'"", "" '\U000f0004\n18 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
31,31.0,Manhattan,Modernly Designed studIo in turtle bay area~402~,Entire apartment,1050.0,Lior,1010,4.5,"['4 guests', 'Studio', '3 beds', '1 bath', '󰀄
134 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n134 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
32,32.0,Manhattan,Cute studio in the Upper West Side.,Entire apartment,1090.0,Ai,90,5.0,"['3 guests', 'Studio', '1 bed', '1 bath', '󰀄
25 Reviews', '󰀙
Verified']","[""['3 guests'"", "" 'Studio'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n25 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
33,33.0,Manhattan,HELL'S KITCHEN STUDIO for 2 or 3,Entire apartment,1350.0,Rod,2040,4.5,"['3 guests', 'Studio', '1 bed', '1 bath', '󰀄
224 Reviews', '󱄁
1 Reference', '󰀙
Verified']","[""['3 guests'"", "" 'Studio'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n224 Reviews'"", "" '\U000f1101\n1 Reference'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
34,34.0,Manhattan,SPACIOUS SCANDINAVIAN DESIGNER APT/Luxury building,Entire apartment,970.0,Teresa,200,5.0,"['6 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
98 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n98 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
35,35.0,Manhattan,Modern Studio in the center of Manhattan!,Entire apartment,950.0,Olivier,830,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '󰀄
83 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n83 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
36,36.0,Manhattan,Soho Apartment Stylish & Central,Entire condominium,1900.0,Arne,3460,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '󰀄
851 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n851 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
37,37.0,Manhattan,Clean and comfortable 3 person private room,Private room in apartment,800.0,Kristy,880,4.5,"['3 guests', '1 bedroom', '3 beds', '1.5 shared baths', '󰀄
286 Reviews', '󱄁
3 References', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1.5 shared baths'"", "" '\U000f0004\n286 Reviews'"", "" '\U000f1101\n3 References'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
38,38.0,Manhattan,"Manhattan, Clean Room Near Central Park & Subway",Private room in house,790.0,Joo,1500,5.0,"['3 guests', '1 bedroom', '3 beds', '2 shared baths', '󰀄
987 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '2 shared baths'"", "" '\U000f0004\n987 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
39,39.0,Manhattan,Stunning studio APT in the heart of NYC,Entire apartment,1400.0,Eli,1030,4.5,"['3 guests', 'Studio', '3 beds', '1 bath', '󰀄
105 Reviews', '󰀙
Verified']","[""['3 guests'"", "" 'Studio'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n105 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
40,40.0,Manhattan,"Classic Brownstone, a Private Studio Apartment",Private room in townhouse,1340.0,Jacob,1320,4.5,"['5 guests', 'Studio', '2 beds', '1 private bath', '󰀄
874 Reviews', '󰀙
Verified']","[""['5 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 private bath'"", "" '\U000f0004\n874 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
41,41.0,Manhattan,Sunny bedroom with Park views in East Village!,Private room in apartment,1220.0,Alfredo,1770,4.5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '󰀄
457 Reviews', '󱄁
1 Reference', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\U000f0004\n457 Reviews'"", "" '\U000f1101\n1 Reference'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
42,42.0,Manhattan,NEW! BEST LOCATION !!! 3min to Rockefeller Plaza,Private room in townhouse,1900.0,Marta,1450,5.0,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '󰀄
307 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\U000f0004\n307 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
43,43.0,Manhattan,Nice studio in Midtown Manhattan,Entire apartment,2190.0,Zahid,1620,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
162 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n162 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
44,44.0,Manhattan,Bright Cozy Chinatown Studio Apt.,Entire apartment,1600.0,Patricia,2720,5.0,"['3 guests', 'Studio', '2 beds', '1 bath', '󰀄
275 Reviews', '󰀙
Verified']","[""['3 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n275 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
45,45.0,Manhattan,Clean style apt. Central midtwn near Javits,Private room in apartment,1640.0,CZ Casa,1780,4.5,"['4 guests', '1 bedroom', '1 bed', '1 shared bath', '󰀄
179 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\U000f0004\n179 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
46,46.0,Manhattan,Brownstone studio near central park,Entire apartment,1500.0,Lucia,1250,4.5,"['3 guests', 'Studio', '1 bed', '1 bath', '󰀄
282 Reviews', '󰀙
Verified']","[""['3 guests'"", "" 'Studio'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n282 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
47,47.0,Manhattan,Harlem Monthly Rental True Two Bedroom 1 Bath,Entire townhouse,990.0,Enid,30,4.5,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '󰀄
136 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n136 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
48,48.0,Manhattan,Sunny Private Studio-Apartment,Entire apartment,1190.0,Alexandra,1290,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
304 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n304 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
49,49.0,Manhattan,âHUGE beautiful E. Villager 2nd Avâ,Entire apartment,1500.0,Zev,3040,4.5,"['5 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
613 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n613 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
50,50.0,Manhattan,Cozy front room in a 2 bedroom family apt near CU,Private room in apartment,700.0,Anna & Keith,1140,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '󰀄
116 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\U000f0004\n116 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
51,51.0,Manhattan,Great apartment in the heart of Manhattan!,Entire apartment,1600.0,Jamie And John,1090,4.5,"['5 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
547 Reviews']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n547 Reviews']""]",[,"""",[,',,,
52,52.0,Manhattan,THE SMALL CHATEAU IN THE TREES,Private room in apartment,2000.0,Stefanie Elizabeth,1890,5.0,"['3 guests', '1 bedroom', '2 beds', '1 private bath', '󰀄
193 Reviews']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\U000f0004\n193 Reviews']""]",[,"""",[,',,,
53,53.0,Manhattan,Clean & sunny private room (fits 3),Private room in apartment,770.0,Kristy,640,4.5,"['3 guests', '1 bedroom', '2 beds', '1.5 shared baths', '󰀄
286 Reviews', '󱄁
3 References', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1.5 shared baths'"", "" '\U000f0004\n286 Reviews'"", "" '\U000f1101\n3 References'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
54,54.0,Manhattan,Downtown Airy Designer Loft,Entire apartment,1790.0,Jaclyn,1710,5.0,"['6 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
172 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n172 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
55,55.0,Manhattan,Modern Central Park Apartment close to everything,Entire apartment,1990.0,Bozhena,1500,4.5,"['4 guests', '1 bedroom', '4 beds', '1 bath', '󰀄
337 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '4 beds'"", "" '1 bath'"", "" '\U000f0004\n337 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
56,56.0,Manhattan,"Manhattan East Village, lower East Side",Entire apartment,1570.0,Marie L,1260,5.0,"['3 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
155 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n155 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
57,57.0,Manhattan,Harlem Monthly Rental True Two Bedroom 1 Bath,Entire townhouse,990.0,Enid,30,4.5,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '󰀄
136 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n136 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
58,58.0,Manhattan,Luxury! Rooftop Pool! Empire State Building View!,Entire condominium,1890.0,Emily,50,5.0,"['5 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
9 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n9 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
